Dates,value,,,,,,
01-01-2020, 94.85 ,,,,,,
02-01-2020, 96.43 ,,,,,,
03-01-2020, 93.50 ,,,,,,
04-01-2020, 79.24 ,,,,,,
05-01-2020, 79.00 ,,,,,,
06-01-2020, 78.85 ,,,,,,
07-01-2020, 91.02 ,,,,,,
08-01-2020, 98.08 ,,,,,,
09-01-2020, 98.21 ,,,,,,
10-01-2020, 96.59 ,,,,,,
11-01-2020, 92.70 ,,,,,,
12-01-2020, 95.86 ,,,,,,
13-01-2020, 94.54 ,,,,,,
14-01-2020, 91.65 ,,,,,,
15-01-2020, 96.92 ,,,,,,
16-01-2020, 98.07 ,,,,,,
17-01-2020, 99.56 ,,,,,,
18-01-2020, 102.62 ,,,,,,
19-01-2020, 99.00 ,,,,,,
20-01-2020, 100.65 ,,,,,,
21-01-2020, 101.66 ,,,,,,
22-01-2020, 103.14 ,,,,,,
23-01-2020, 105.59 ,,,,,,
24-01-2020, 106.93 ,,,,,,
25-01-2020, 107.71 ,,,,,,
26-01-2020, 118.03 ,,,,,,
27-01-2020, 113.53 ,,,,,,
28-01-2020, 116.90 ,,,,,,
29-01-2020, 123.37 ,,,,,,
30-01-2020, 121.85 ,,,,,,
31-01-2020, 125.03 ,,,,,,
01-02-2020, 126.16 ,,,,,,
02-02-2020, 133.89 ,,,,,,
03-02-2020, 137.93 ,,,,,,
04-02-2020, 139.66 ,,,,,,
05-02-2020, 141.14 ,,,,,,
06-02-2020, 143.66 ,,,,,,
07-02-2020, 144.10 ,,,,,,
08-02-2020, 124.75 ,,,,,,
09-02-2020, 125.77 ,,,,,,
10-02-2020, 126.50 ,,,,,,
11-02-2020, 126.94 ,,,,,,
12-02-2020, 149.35 ,,,,,,
13-02-2020, 157.96 ,,,,,,
14-02-2020, 150.52 ,,,,,,
15-02-2020, 151.31 ,,,,,,
16-02-2020, 148.87 ,,,,,,
17-02-2020, 152.72 ,,,,,,
18-02-2020, 148.71 ,,,,,,
19-02-2020, 143.46 ,,,,,,
20-02-2020, 146.74 ,,,,,,
21-02-2020, 143.86 ,,,,,,
22-02-2020, 135.63 ,,,,,,
23-02-2020, 129.66 ,,,,,,
24-02-2020, 127.57 ,,,,,,
25-02-2020, 122.54 ,,,,,,
26-02-2020, 119.59 ,,,,,,
27-02-2020, 120.29 ,,,,,,
28-02-2020, 115.97 ,,,,,,
29-02-2020, 108.55 ,,,,,,
01-03-2020, 101.12 ,,,,,,
02-03-2020, 98.72 ,,,,,,
03-03-2020, 91.85 ,,,,,,
04-03-2020, 86.22 ,,,,,,
05-03-2020, 85.62 ,,,,,,
06-03-2020, 84.40 ,,,,,,
07-03-2020, 82.60 ,,,,,,
08-03-2020, 80.90 ,,,,,,
09-03-2020, 79.32 ,,,,,,
10-03-2020, 77.92 ,,,,,,
11-03-2020, 76.10 ,,,,,,
12-03-2020, 73.86 ,,,,,,
13-03-2020, 69.46 ,,,,,,
14-03-2020, 60.77 ,,,,,,
15-03-2020, 59.91 ,,,,,,
16-03-2020, 59.17 ,,,,,,
17-03-2020, 63.06 ,,,,,,
18-03-2020, 64.96 ,,,,,,
19-03-2020, 65.65 ,,,,,,
