Sr No,Dates,Average sale price
1,01-01-2020,910.59
2,02-01-2020,NA
3,03-01-2020,858.65
4,04-01-2020,NA
5,05-01-2020,NA
6,06-01-2020,NA
7,07-01-2020,583.98
8,08-01-2020,3512.86
9,09-01-2020,NA
10,10-01-2020,NA
11,11-01-2020,712.015
12,12-01-2020,1326.15
13,13-01-2020,NA
14,14-01-2020,402.655
15,15-01-2020,1088.652
16,16-01-2020,NA
17,17-01-2020,1299.045
18,18-01-2020,1898.23
19,19-01-2020,695.81
20,20-01-2020,764.81
21,21-01-2020,665.14
22,22-01-2020,627.50125
23,23-01-2020,735.83
24,24-01-2020,687.752
25,25-01-2020,538.86
26,26-01-2020,2329.31
27,27-01-2020,655.9166667
28,28-01-2020,769.6666667
29,29-01-2020,1465.48
30,30-01-2020,699.7833333
31,31-01-2020,662.51
32,01-02-2020,484.8422222
33,02-02-2020,954.21
34,03-02-2020,NA
35,04-02-2020,NA
36,05-02-2020,819.605
37,06-02-2020,NA
38,07-02-2020,704.57
39,08-02-2020,NA
40,09-02-2020,NA
41,10-02-2020,NA
42,11-02-2020,NA
43,12-02-2020,822.1522222
44,13-02-2020,3691.26
45,14-02-2020,1055.26
46,15-02-2020,1389.3
47,16-02-2020,1191.886
48,17-02-2020,2418.991667
49,18-02-2020,1858.685
50,19-02-2020,1194.603333
51,20-02-2020,3055.366667
52,21-02-2020,3057.12
53,22-02-2020,1287.2
54,23-02-2020,823.5466667
55,24-02-2020,1034.76
56,25-02-2020,840.8
57,26-02-2020,962.0666667
58,27-02-2020,2196.21
59,28-02-2020,NA
60,29-02-2020,NA
61,01-03-2020,653.3033333
62,02-03-2020,921.19
63,03-03-2020,428.55
64,04-03-2020,NA
65,05-03-2020,426.16
66,06-03-2020,586.5
67,07-03-2020,NA
68,08-03-2020,832.18
69,09-03-2020,NA
70,10-03-2020,1031.925
71,11-03-2020,NA
72,12-03-2020,827.275
73,13-03-2020,330.36
74,14-03-2020,NA
75,15-03-2020,NA
76,16-03-2020,NA
77,17-03-2020,NA
78,18-03-2020,319.35
79,19-03-2020,NA
80,20-03-2020,442.02
81,21-03-2020,NA
82,22-03-2020,471.63
83,23-03-2020,NA
84,24-03-2020,422.21
85,25-03-2020,456.55
86,26-03-2020,384.23
87,27-03-2020,408.45
88,28-03-2020,483.56
89,29-03-2020,NA
90,30-03-2020,NA
91,31-03-2020,NA
92,01-04-2020,1068.24
93,02-04-2020,1069.356667
94,03-04-2020,NA
95,04-04-2020,387.485
96,05-04-2020,1845.05
97,06-04-2020,618.71
98,07-04-2020,651.6466667
99,08-04-2020,66.67
100,09-04-2020,NA
101,10-04-2020,1500.98
102,11-04-2020,993.97
103,12-04-2020,640.4685714
104,13-04-2020,NA
105,14-04-2020,581.48
106,15-04-2020,539.83
107,16-04-2020,553.7
108,17-04-2020,1471.2825
109,18-04-2020,571.49
110,19-04-2020,NA
111,20-04-2020,445.45
112,21-04-2020,382.18
113,22-04-2020,525.09
114,23-04-2020,NA
115,24-04-2020,439.29
116,25-04-2020,536.1966667
117,26-04-2020,NA
118,27-04-2020,459.42
119,28-04-2020,539.51
120,29-04-2020,615.31
121,30-04-2020,505.005
122,01-05-2020,NA
123,02-05-2020,1005.595
124,03-05-2020,796.8266667
125,04-05-2020,NA
126,05-05-2020,NA
127,06-05-2020,NA
128,07-05-2020,NA
129,08-05-2020,4483.24
130,09-05-2020,649.7433333
131,10-05-2020,NA
132,11-05-2020,1406.66
133,12-05-2020,NA
134,13-05-2020,NA
135,14-05-2020,NA
136,15-05-2020,760.275
137,16-05-2020,694.92
138,17-05-2020,733.8157143
139,18-05-2020,NA
140,19-05-2020,NA
141,20-05-2020,537.8
142,21-05-2020,513.9944444
143,22-05-2020,604.74
144,23-05-2020,598.784
145,24-05-2020,573.316
146,25-05-2020,530.2275
147,26-05-2020,NA
148,27-05-2020,795.6957143
149,28-05-2020,NA
150,29-05-2020,NA
151,30-05-2020,609.17
152,31-05-2020,766.8633333
153,01-06-2020,NA
154,02-06-2020,1155.14
155,03-06-2020,NA
156,04-06-2020,2517.93
157,05-06-2020,NA
158,06-06-2020,NA
159,07-06-2020,730.38
160,08-06-2020,1025.84
161,09-06-2020,1188.09
162,10-06-2020,NA
163,11-06-2020,NA
164,12-06-2020,886.6766667
165,13-06-2020,NA
166,14-06-2020,NA
167,15-06-2020,794.72
168,16-06-2020,NA
169,17-06-2020,558.04
170,18-06-2020,968.31
171,19-06-2020,NA
172,20-06-2020,597.23
173,21-06-2020,975.67
174,22-06-2020,NA
175,23-06-2020,NA
176,24-06-2020,NA
177,25-06-2020,1194.31
178,26-06-2020,493.07
179,27-06-2020,780.5
180,28-06-2020,NA
181,29-06-2020,NA
182,30-06-2020,557.86
183,01-07-2020,NA
184,02-07-2020,1112.611667
185,03-07-2020,NA
186,04-07-2020,494.13
187,05-07-2020,535.54625
188,06-07-2020,430.99
189,07-07-2020,NA
190,08-07-2020,NA
191,09-07-2020,NA
192,10-07-2020,715.25
193,11-07-2020,NA
194,12-07-2020,NA
195,13-07-2020,NA
196,14-07-2020,NA
197,15-07-2020,840.91
198,16-07-2020,NA
199,17-07-2020,NA
200,18-07-2020,NA
201,19-07-2020,1216.3
202,20-07-2020,NA
203,21-07-2020,NA
204,22-07-2020,799
205,23-07-2020,NA
206,24-07-2020,NA
207,25-07-2020,NA
208,26-07-2020,1907.78
209,27-07-2020,627.85
210,28-07-2020,NA
211,29-07-2020,NA
212,30-07-2020,NA
213,31-07-2020,NA
214,01-08-2020,NA
215,02-08-2020,1134.66
216,03-08-2020,778.355
217,04-08-2020,511.105
218,05-08-2020,799.4666667
219,06-08-2020,NA
220,07-08-2020,738.07
221,08-08-2020,939.4475
222,09-08-2020,NA
223,10-08-2020,2257.73
224,11-08-2020,759.355
225,12-08-2020,NA
226,13-08-2020,1049.17
227,14-08-2020,880.06
228,15-08-2020,928.9
229,16-08-2020,1129.93
230,17-08-2020,1201.803333
231,18-08-2020,1360.357333
232,19-08-2020,909
233,20-08-2020,780.05
234,21-08-2020,2325.05
235,22-08-2020,NA
236,23-08-2020,NA
237,24-08-2020,909.79
238,25-08-2020,717.835
239,26-08-2020,755.5333333
240,27-08-2020,957.0316667
241,28-08-2020,NA
242,29-08-2020,908.58
243,30-08-2020,930.09
244,31-08-2020,NA
245,01-09-2020,478.46
246,02-09-2020,1355.9925
247,03-09-2020,539.3
248,04-09-2020,572.62
249,05-09-2020,651.49
250,06-09-2020,1079.643333
251,07-09-2020,NA
252,08-09-2020,1380.58
253,09-09-2020,NA
254,10-09-2020,NA
255,11-09-2020,NA
256,12-09-2020,597.7333333
257,13-09-2020,3361.72
258,14-09-2020,NA
259,15-09-2020,796.87
260,16-09-2020,790.13
261,17-09-2020,1027.1725
262,18-09-2020,NA
263,19-09-2020,1185.195
264,20-09-2020,829.6375
265,21-09-2020,908.6525
266,22-09-2020,711.12
267,23-09-2020,739.48
268,24-09-2020,814.0075
269,25-09-2020,1011.52
270,26-09-2020,NA
271,27-09-2020,NA
272,28-09-2020,NA
